label	tokenized_title_okt
4	중국 금액 트위터 대학생 계정 차단 논란
0	카페 상품 촬영 전문 카메라 스토어 카메라 출시
1	서울 오존 주의보 도심 서북 동북 발령
3	김석진 방통위 신임 금액
3	방통위 허위 조작 정보 자율 규제 협의 출범
1	게시판 시공간 활성화 금액 사업 프로그램 제공 공모
4	구호 존속 연명 바꾸다 처지 사기 바닥
1	예스 웹소설 공모전 대상 요즘 연애
2	전북 톈진 지다 챔스리그 패배 확정
1	첼리스트 금액 바흐 반주 첼로 음반 녹음
5	평화 정부 공공기관 특활비 전면 폐지 당론 결의
0	게시판 사이버 보안 인력 양성 과정 교육 모집
4	모스크바 확산 회의 개막 북미 대표 환영 만찬 짧다 대화
2	롯데 카드 구단 이미지 적용 한정판 카드 출시
0	오다 가상현실 어디 오다
5	개성 공단 자금 북핵 개발 사용 증거 공개
0	최고 산업 기술 삼성 전자 낸드 디스플레이
3	태블릿 조작 변희재 징역 악의 공격 반복
6	셀트리온 스케 금액 규모 자기 주식 취득
2	한국 케이로스 이란 축구 대표팀 계약 연장
4	보잉 맥스 운항 중단 장기 여름 수기 연장
0	라인 프렌즈 스마트폰 데이터 제한 기능 추가
4	홍콩 우산 혁명 지지 강력 비난
0	둘러보다 권영수 유플러스 부회장
3	해양 경찰청 헬기 절반 야간 운항 불가능
5	김정은 대남 도발 부대 가다 참수 작전 대응 행보
5	대선 앞두다 오바마 우리 대결 참패 궤변
4	케냐 경비행기 추락 탑승 금액 사망
6	금액 집중 전기차 충전 전국 설치
5	선거 연령 인하 점화 여야 대표 시기 충돌
5	동학 농민 혁명 기념일 지정 국무회의 의결
6	삼강 엠앤티 금액 규모 해양 조물 공급 계약
0	노트 마니아 사로자다 개다 노트 초반 인기 몰이
0	게시판 골프 프로 골퍼 연예인 스크린골프 대회 중계방송
3	경남 네이버 모바일 뉴스 지역 언론사 포함 공식 요청
1	게시판 서울 시청 하늘 광장 갤러리 전시 작가 공모
4	소리 장사익 모스크바 단독 콘서트 현지 관객 크다 호응
4	아프리카 돼지 열병 파동 돼지고기 수입 수치 급증
4	베트남 한국 비자 신청 센터 개다
6	테라 텍스 금액 전환사채 발행 결정
0	대학교수 연구 책임자 행정 부담 덜다 주다
1	날씨 제주도 영동 아침 동해 남해 풍랑 주의
3	가축 분뇨 관리 센터 방문 환경부 장관
5	전경련 어버이연합 뒷돈 금액 의혹 국회 진상 조사
0	유튜브 넘다 광고 소비자 주목
6	북미 정상회담 대감 금액 달러 환율 금액 급락
5	방러 대통령 한반도 비핵화 지지 호소 북방정책 구체화
4	총선 주요 정당 대표 막판 지지 당부 총력전
1	문화 재청 문화재 그날 개최
2	경찰 축구 대표팀 달걀 봉변 수사 처벌 금액
1	문학 단체 블랙리스트 실행 공공기관 사퇴 하라
0	사이버 위기 대응 훈련 참여 기업 악성코드 감염
5	심야 의총 한국 본회의 강행 모든 방법 저지
6	투자 증시 추가 하락 우려 매수 시점 알다
3	교복 치마 무릎 찢다 금지 여중 용의 규정 논란
1	신간 일본 격차 기업 가지 금액
2	이브 루스 홈런 배트 경매 나오다 금액 기록 넘다
2	러츠 칼텍스 도로공사 꺾다 연승 선두 도약
1	신간 미래 단서 알다 사람
5	신년 담화 회견 전략 자산 추가 전개 시점
6	경기 기술 삼성 엔지니어링 금액 플랜트 자재 수주
6	그래픽 제조업 평균 가동 추이
4	구조선 철수 지중해 유엔 바다 경고
6	증권 광동 제약 분기 실적 호조 전망
3	밀양 규모 지진 부산 피해 신고
3	언론노조 지역 신문 발전 기금 삭감 대통령 공약 위배
6	현대차 투자 종근당 양호 외형 성장 지속
1	만화가 만나다 만화 시편 구체 소년
4	밉다 터키 인도 절차 조만간 중단
3	법조 기자 수첩 방송 현실 거리 멀다 왜곡 성명
1	지붕 미술관 울산 신화 마을
5	북한 미사일 동향 예의 주시
3	방정오 수첩 장자연 보도 특정 망신 주기
2	손흥민 경기 연속 폭발 토트넘 승리
6	아파트 거래 절벽 부산 지역 가계 대출 감소
2	최초 파울 안전 확대 설치 화이트삭스 양론
6	한국 투자 한국전력 정책 불확실 해소
2	리치 올스타 홈런 더비 불참 대체 채프먼
6	부동산 캘린더 수기 차분하다 분양 시장
3	영장 심사 출석 임종헌 묵묵 부다
0	매트릭스 랜섬웨어 협박 메시지
1	신간 지엄 여행
2	완투 이용찬 넘기다 던지다 기쁘다
3	언론 소송 인터넷 매체 비중 연속 수치 넘다
5	자금세탁 방지 기구 북한 거래 특별하다 주의 권고
0	삼성 마법 갤럭시
4	선진국 쓰레기 인니 폐기물 수입 규제 강화
5	탈북민 금액 교육 취약 계층 봉사활동
1	정부 편안하다 여행 관광 복지 사회 금액
5	최부일 직책 인민보안부 인민 보안 변경
6	게시판 한국 거래소 코넥스 합동 콘퍼런스 개최
1	예스 영어 학습 대가 많이 산다
0	온라인 휴대폰 주문 음성 안내 제공
6	국제 금액 자재 가격 경제 미치다 영향력 감소
2	감독 달려들다 데이비스 대화 풀다
4	리비아 통합 정부 트리폴리 공습 다른 아랍 국가 개입
5	평양 정상회담 금액 영빈 도착 문재인 대통령
2	반환 리그 자부 시청률 돌파 남자 추월
1	자락 정동 옛길 거닐다 추억 쌓다 정동 야행
2	프로농구 삼성 설욕 연패 탈출
2	프로축구 리그 유료 관중 상승 평균
2	반전 꿈꾸다 하위 삼성 휴식 기르다 도약 발판
0	보릿고개 무사하다 넘기다 삼성 스마트폰 분기 약진 예약
6	안심 대출 주택 산정 지방 노후 소형 단독주택 빼다
0	지난해 흑자 전환 금액 영업
1	대한민국 만화 대상 웹툰 마음 소리 조석 작가
0	통신 공룡 엇갈리다 베팅 버라이즌 인터넷
6	코디 금액 배정 유상증자 결정
0	삼성 개다 붉다 화면 불량 알다 최고 판매량 목표
4	인도양 고스 제도 모리셔스 반환 하나 유엔 압박
0	화재 조촐하다 세계 상용 통신 간담 연기
5	대통령 평화통일 더욱 크다 내딛다
0	도난 분실 휴대폰 국제 블랙리스트 등록 해외 불법 사용 차단
4	중국군 전투기 주력 전투 장비 발표
1	신간 리기 기적 젊다 음악가 슈만 조언
2	여자 축구 대표팀 포르투갈 알가르베컵 출전
6	김병 대표 대상 금액 규모 유상증자
0	양양 비치 티비 선보이다
2	김인식 감독 류현진 휴식 필요하다 보이다 차분하다 바라보다
0	유플러스 예약판매 시작
3	휴스턴 영화제 위안부 다큐 출품 수상
4	빌다 클린턴 헛발질 오바마 케어 미치다 대선 쟁점 부상
6	지난주 광물 가격 전반 상승 경기 부양 대감
5	신임 대사 신임장 수여 참석 대통령 강경화 외교 장관
5	천정배 기득권 패권 탐욕 견제 상생 협력 시대
1	최우수 우수 강등 축제 청바지 갈아입다 빌딩
5	홍용표 개성 공단 자금 미사일 사용 확보 자료 뭔가
4	쿠르드족 시리아 남성 유엔 난민 기구 앞서 분신
4	멕시코 뷰티 유튜버 반한 화장품 뷰티 중남미 공략 가속
2	박세진 이닝 실점 경기 연속 조기 강판
3	꽃길 안전하다 환경 바라다 노동자
3	국내 최대 성매매 사이트 전쟁 경찰관 구속
6	경동나비엔 분기 영업 금액 수치 감소
2	첼시 리버풀 분데스리가 오바메양 줄다리기
2	다저스 홈런 샌프란시스코 완파 뷸러
6	게시판 현대 건설 남동 발전 해외 발전 사업 양해각서
4	대통령 충돌 대화 용의 가짜 대화
0	넷마블 신작 오브 파이터 올스타 출시
4	한반도 문제 관건 시기 대화 견지해
2	무관 제왕 김정은 데뷔 우승
4	언론 제시 발전 전략 의존 탈피 명기
5	대통령 노동 제법 국회 반드시 처리
4	푸틴 김정은 회담 긍정 자평 외교 실수 수정 회담
4	트럼프 스타인 마르다 고서 여성 여명 파티
2	오다 만나다 김태형 두산 감독 지금 이기다 목표 알다
6	신평 이랜드 한진 수익 재무 안전성 악화
2	라바 감독 올림픽 본선 진출 목표 한국 공부
2	프로배구 한국전력 손보 꺾다 탈꼴찌 가빈 금액
4	페덱스 화웨이 배송 사고 매체 블랙리스트 올리다
2	피닉스 최초 북미 출신 코코 스코프 감독 선임
4	터키 통제 시리아 북서 부서 폭탄 테러 최소 사망
6	아시아나 항공 매각 질문 받다 최종 금액
4	에어버스 불법 보조금 겨냥 보복 관세 권리 확인
2	퇴장 전북 제주 꺾다 신바람 연승 행진
4	브라질 메르코수르 대사 금액 공동 운영 제의
0	특급 열차 타다 빅데이터 성능 수치 향상 고속 전송 기술 개발
1	교양 만화 돌아오다 윤태호 지적 호기심 강하다 시대 만화
1	허영만 년대 초기 판본 재현 추다
3	금액 도민 보사 중석 사장 선임
0	입김 불면 변하다 필름 위조 방지 적용
4	영불해협 페리선 불법 이민자 수십 난입 경찰 수색 소동
2	지나치다 현실 마차도 지구 우승 어렵다
5	올림픽 시간 쥐다 한반도기 조선 총련 금액 속초 도착
4	메이 잔류 탈퇴 통합 내각 준비 브렉 시트 신설
6	성신양회 글로벌 미얀마 시멘트 부두 추진 해수부 금액
0	갤럭시 노트 교환 환불 월말 연장
1	국내 파주 감악산 출렁 다리 완공
5	매체 중거리 탄도미사일 발사 보도 아직
0	황창규 회장 지니 에코 구글 낫다
1	신간 우리 시대 한국 대사 양손잡이 민주주의
5	청문회 우려 핵심 출석 불투명
2	마드리드 리즈 유행 확정 부인
4	트럼프 국경 방문 앞두다 멕시코 북동 부서 시신 발견
3	유은혜 부총리 일제 식민지 피해 실태 과제 심포지엄 참석
4	제재 외국 회사 떠나다 이란 국내 회사 유전 개발
4	링크트인 인권 운동 프로필 삭제 여론 비난 금액
4	브렉 시트 합의 승인 보류 향후 조치 알다 달라
4	트럼프 셧다운 직격탄 평균 국정 지지도 수치 최저
5	대통령 중앙 순방 종료 귀국 오르다
1	클럽메드 말레이시아 단체 휴가 상품 할인 이벤트
3	긴장감 검찰
1	한국 시인 협회 회장 윤석 시인 취임
3	울산 지점 인명 피해
0	이사회 신성철 총장 직무 정지 결정 유보
3	조현오 장자연 사건 수사 조선일보 간부 협박
6	현대차 그룹 축구 나무 아트 드림 발대식 개최
4	베네수엘라 정보기관 카르 스페인 투옥
2	월드컵 티켓 확보 대륙 경쟁 아시아 최소
5	조국 민정 수석 박상기 법무 장관
4	밉다 무역 갈등 고조 경제 장관 미국 방문 오르다
3	통일 언론 스페셜 년생 김정은 장마당 세대
3	드라마 본부 드라마 분사 보류 구조조정
6	정보보안 소프트웨어 업체 인수
5	금액 평균 인구 양심 호남 의석 줄이다
5	대통령 반기문 지지율 질문 국민 물어보다
0	암세포 낳다 줄기세포 생존 새롭다 발견
4	트럼프 라이언 사악하다 거래 밝히다 트럼프
0	서방 백두산 연구 먼저 제의 과학 외교 활발
5	민주 대통령 실현 불가능하다 공약 납득 설명
1	신간 걸프 알다
3	금액 사장 내보내다 정상화 과제
6	사태 판매 은행 형사 책임 모두 물어
5	한미 정상 공동 성명 서명 인사 한미 정상
2	언론 한국 비너스 이민아 일본 여자 축구 위협
0	네이처 표지 논문 시간 결정 무엇
2	프로농구 선두 오리온 역전승 격차 벌리다
6	키우다 증권 화이트리스트 배제 석유 화학 영향 제한
0	모바일 지갑 클립 리뉴얼 맞춤 추천 기능 추가
0	네이버 자율 공개 자동차 사업 계획
1	예스 우리 사랑 인의 작가 부산 전시
2	아기 상어 변신 류현진 트레이너 통역 루루 뚜루
0	게시판 랜섬 웨어 침해 대응 얼라이언스 결성
5	추미애 드루 댓글 조작 세력 철저하다 수사
2	센터 용도 높이다 대한항공 승만 더하다 챔프
4	필리핀 남중국해 공사 군함 어선 해상 인해전술
6	우리금융 지주 한국 거래소 신규 상장
0	조작 의혹 벗다 네이버 실검 순위 변동 공개
5	산재 사망 절반 국민 생명 의제 논의
3	금액 방송대상
6	금액 통일 규격 주권 교체 신청 받다
0	갤럭시 정식 출시
4	러시아 미사일 본토 겨냥 푸틴 발언 두다 서방
2	프로배구 챔프 앞두다 금액 최태웅 감독 차다 총력전
0	안랩 모바일 시큐리티 다운로드 돌파
5	박영수 특검 좋다 금액 따르다 수사
4	분기 산업 생산 수치 감소 무역 갈등 역풍
6	증시 부진 사주 공시 남용 경계
5	대통령 경제 이상 징후 감지 선제 안정 조치
6	코스피 미국 악재 급락 대로 털썩
0	개인정보 대량 이용 홈피 수치 보안 취약
6	차기 금융투자 협회장 후보 등록 마감 도전
4	영국 재활용 부다 조물 붕괴 사망
1	추위 충남 서해안 보령 서천 대설주의보
1	갤러리 그림 기획 개인
2	현대 모비스 연속 대승 삼성 만난 건아
6	부업 몰리다 한계 차주 연간 긴급 자금 대출
1	팟캐스터 쓸다 교양 클래식 친구 만들다 드리다
1	충청 호남 많다 호우 특보 가능성
6	분기 발행 금액 분기 수치 감소
4	샌더스 힐러리 조만간 만날 협력 모색
6	코스피 외국인 매도 찔끔 하락
4	펜스 부통령 터키 시리아 일간 휴전 합의
6	부동산 캘린더 수도권 분양 물량 견본주택 오픈
6	대림 에스 분기 영업 금액 수치 감소
4	캄보디아 중국군 주둔 우려 거듭 제기
4	홍콩 중국 경찰 투입 체포 서다 재판 받다
4	이란 탄도미사일 개발 협상 대상 알다 확인
0	인공 지능 구글 경쟁 데이터 확보 중요
1	가을 거기 서다 단풍 보다 전국 유명산 북적
2	주축 일본 역전패 한국 여자배구 결승 진출 실패
1	인천 국제공항 상설 공연 개최
6	노스 새만금 부지 전기차 공장 설립 체결
4	미니 슈퍼화요일 힐러리 트럼프 플로리다 승리 연설
3	박다 신임 광주 교통 방송 본부장 취임
0	중소기업 기술 금액 협약
4	나치 희생 기억 슈톨퍼 슈타인 설치
6	하나 금융 분기 금액 분기 대비 수치
4	유럽의회 서머타임 폐지 법안 가결 처리
0	가지다 아이스크림 주문 해피 오다 연동
0	삼성 갤럭시 중국 신제품 우수 평가
0	액티브 고통 벗어나다 제거 설명
1	인민 국민 이북 수복 지구 어떻다 변하다
2	올림픽 예선 출격 앞두다 남자배구 대표팀 실전 점검 순조
0	텔레콤 판매 시작
0	가나 출시
5	대통령 재선 명과 사드 민심 면담
3	학교 비정규직 파업 도시락 먹다 학생
5	나흘 번꼴 국제 행사 제재 끄다 전용
1	들다 한파 주춤 서울 닷새 한파 특보 해제
5	정운 몰래 변론 의혹 찌라시 수준 소설
5	재다 입체 시험 초기 단계 추정 전문가 분석
2	바르셀로나 벤피카 라이트백 사실 확정
0	밉다 성탄절 쇼핑 시즌 아마존 알렉사 최고 인기
4	폭동 선동 사우디 시아파 소년 사형 위기
6	에이치 아이 연결 영업 손실 금액 적자 전환
0	경기도 문화유산 구글 컬처 인스티튜트 선보이다
5	전문 대통령 인터넷 은행 규제 혁신 고인 저수지 물꼬 틀다
3	광주 이어진 세계 기자 대회 묘역 참배
0	과기부 한국 유럽연합 연구시설 정보 제공 플랫폼 개통
0	넥스 텔레콤 기본 금액 요금 나흘 천명 가입
1	세계 팝스타 스팅 금액 극장 무대 오르다
2	다음 만나다 아리 스포츠 북한 선수단 출국
4	아프리카 말리 테러 군인 피살 하디스 소행
1	공간 치다 새기다 역사 기억 서효인 시집 여수
6	중국 전력 굳다 브라질 전력 회사 배지 금액 인수
0	시대 융합 보안 강화 방안
4	금액 남중국해 분쟁 지역 조세회피 조성
4	시진핑 경제정책 비판 확산 하나 저명 경제학자 반기
0	기술 확보 인재 육성 정부 산업혁명 대응 방향 발표
2	아스널 벵거 감독 뮌헨 대패 비난 여론 증폭
0	온라인 신규가입 프로모션
5	국민의당 광주 선언 억지 사과 컷오프 배제 틈새 공략
2	박항서 감독 한국 축구 감독 오다 나서다 동기 부여
4	리커창 경제 수치 이상 성장 지속 매우 쉬다
5	남다 부총리 출입기자단 간담
1	겨울 반갑다 용평 휘닉스 평창 스키장 개장
4	친미 사우디 금액 이스라엘 주권 인정 반대
2	여자배구 현대 건설 실업팀 양산 시청 찝찝하다 승리
4	반세기 베네치아 자치권 획득 좌절 주민 투표 부결
4	아베 이란 방문 이스라엘 총리와 통화
5	정세균 국회의장 금액 대표
0	뉴질랜드 갤럭시 크다 스크린 좋다 호평
2	이영택 인삼공사 감독대행 축하 인사 불편하다
2	넣다 수비수 전북 김민재 리그 라운드
0	경북 대학교 청춘 개최
2	김소니아 더블 더블 우리은행 시즌 고지 선착
3	연합뉴스 응급의학 응급환자 살리다 공동 캠페인 개시
2	토트넘 인종 차별 관중 찾아내다 경찰
5	한미 공군 시설 정밀 타격 훈련 레드 플래그 돌입
2	리치 홈런 선착 월간 홈런 신기록
6	게시판 미래에셋 대우 전국 동시 자산 관리 세미나
2	양키스 부상자명단 신기록 수립
1	최고 날씨 따뜻하다 중부 밤늦다 조금
2	구도 깨다 한화 연승 행진
2	테리 인삼공사 트레이드 상대 꺾다 메리 크다
4	주도 호르무즈 호위 연합체 참여
5	북한 권법 테러 방지법 국회통과 중대 도발 주장
5	닷새 새롭다 숫자 난수 방송
5	정의당 당권 경쟁 심상정 양경규 파전 대표 선출
5	대통령 케냐 어린이 만나다 체조 건강하다
2	차범근 축구상 선정 시상식
4	대통령 퇴진 시위 수단 저항 상징 여성 눈길
6	이노베이션 분기 영업 금액 수치
5	매체 외부 금액 좋다 중국 겨냥
6	특징 금융시장 출렁 금융 증권 줄줄이 신저
2	카탈루냐 독립 초읽기 마드리드 지로나 연기 수도
0	게시판 모바일 여름 휴가 여행 레저 프로모션
2	개막 연승 돌풍 부천 정갑석 감독 리그
1	사표 떠나다 퇴사 여행 에세이 인기
2	두산 반격 필요조건 안정 수비
5	돌풍 박주민 거리 변호사 금액
5	민주 대표 이해찬 금액 박주민 박광온
5	금액 김기현 첩보 이첩 단순 행정 처리 정치 의도 의심
6	한미 약품 먹다 유방암 치료 오락 본격
6	금액 홈페이지 즉시 연금 분쟁 조정 신청 받다
2	류현진 다저스 떠나다 수도 디애 슬레 현지
1	국립극단 연출 작업 진행중 쇼케이스 시작
5	정운찬 총리 차기 대선 출마 가닥
0	캠페인 부금 금액 월드비전 전달
1	교향악단 말러 레이블 발매
1	코바코 화이 브라더스 카카오페이지 웹툰 스토리 공모전
1	외국인 먹다 보고 이색 한식 산낙지
5	운동권 비서 출신 광주 대결 관심
6	건설 주상 복합 아파트 은평 스카이 분양
1	완전 무장 퇴근길 모자 필수
6	머티리얼즈 분기 영업 금액 수치 증가
6	주목 종목 삼성 전자 아모레퍼시픽 건설
0	애플 중국 꿇다 만리 방화벽 우회 자율 삭제
6	투자 스튜디오 드래곤 이익 증가 둔화 예상 목표
2	페널티킥 갈등 겪다 네이마르 몽펠리 금액 명단 제외
0	일문일답 케빈 마틴 페이스북 부사
0	통법 무용 고개 고액 금액 불법 딱지 떼다
1	신간 데리다 문학 과로 자살
2	켈리 이닝 실점 쾌투 화전 연승
6	국민임대주택 가구 예비 주자 모집
1	신간 아버지 홍세화 공부
6	조선 인수 우선 협상 대상자 그룹 선정
6	분양 심사 늦어지다 금액 한남 하루 이자 비용 금액
5	대통령 일만 김현웅 사표 수리 최재경 보류
6	현대 상선 분기 영업 손실 금액 적자 지속
2	벌써 리그 빠르다 류현진 엄청나다 승리 사냥
5	문화 예술인 명작 창작 독려 모란봉 악단 본받다
0	밤샘 서기 예전 같다 아이폰 열기
1	사드 보복 크다 발길 분기 여행 수입 최소
0	돋보기 자녀 떨어지다 홀로 살다 노인 증가 안타깝다 현실
1	년생 김지영 일본어
2	프로농구 정규 리그 제패
2	호남 지역 초등학교 야구 대회 개최
4	언론 극우 금액 러시아 로부터 통제 당하다
2	레이 커스 성탄 매치 골든 스테이 완승
6	두산 그룹 성남 분당 두산 분당 센터 짓다
0	차례 발사 연기 차세대 소형 위성 새벽 발사
0	정보통 서비스 사업자 유출 개인정보 말다
2	도로공사 앳킨슨 무릎 부상 아웃 테일러 교체
1	남성 인극 해석 로미오 줄리엣
6	금융 글로벌 인프라 펀드 투자 계약 체결
4	언론 대통령 역사 문제 언급 자제 대일 비난
5	금액 오만하다 국민 패싱 선거법 철회
4	연구 물담배 피우다 당뇨 비만 위험 커지다
4	이란 혁명 수비대 석유 밀수 시도 외국 유조선 억류
5	대통령 정권 공포정치 주민 지옥 몰다
0	신고 규제 스팸 메일 수치 줄다
2	타자 추신수 시범 경기 타수 안타 볼넷 타점
4	멕시코 중부 송유관 폭발사고 사망자 늘다
6	영상 미혼 남녀 절반 이상 결혼 동거
5	대구 예비 후보 의정 보고 금지 가처분 신청
1	들어서다 전국 온통 꽁꽁 겨울 한파 경보
2	세터 김명 느리다 성장 속도 경쟁력
5	인권 단체 종교 자유 침해 영상 개국 제작
5	비핵화 주도 요청 대통령 포스트 북미 회담 중재 주목
4	베네수엘라 국경 금액 반입 놓다 충돌 사망 부상
5	방북 금액 북한 년후 싱가포르
5	미래 보임 갈등
5	폭격기 일만 한반도 출격 김정은 겨냥 강도 압박
0	블랙홀 비밀 풀다 중력파 검출기 동시 관측
2	이대호 경기 연속 결승 롯데 넥센 꺾다 추격
6	활법 한국 경제 위기 극복 기회
3	한국 언론 사표 송건호 흉상 옥천 생가 세우다
1	대체공휴일 확대 외국인 관광객 비자 발급 간소화
6	무역 스마트폰 발광 케이스 특허 침해 조사
0	셰크먼 호기심 분야 꾸준하다 연구 노벨상 비결
0	인스타그램 사용자 관심 반영 동영상 추천 기능 추가
6	경연 일자리 추다 기업 도시 추진
6	현대차 증권 분기 영업 이익 금액 수치 증가
0	황창규 회장 속도 글로벌 도전
5	대회 독려 역사 분수령
1	마산 문신 미술관 조각가 문신 년대 작품 기획전
5	한국 서울 교통 공사 사장 금액 고발 감사 결과 거부
0	시대 스마트 혁신 융합 보안 세미나
6	그래픽 주식 펀드 채권 펀드 설정 추이
0	요금 할인 수치 분란 강행 이통 사도 기존 약정 자도 불만
5	홍영표 일자리 으뜸 기업 방문 고용 추다 격려
0	금액 공정위 정부 기관 사칭 악성 메일 기승
6	무역 전쟁 해결 기대 금액 달러 금액 최대 낙폭
6	키우다 증권 분기 영업 금액 수치 증가
6	착하다 기업 투자 펀드 인기 유입
0	화재 폭발 위험 리튬전지 고체 전해질 개발
5	옥새 행방 설전 당사 당사 존재
1	평창올림픽 바가지 업다 잡아내다 들다 금액
5	이정현 대표 취임 호남 방문 환향
5	여야 금액 대표 본회의 처리 법안 논의
3	고려대 조국 법무 장관 사퇴 촉구 촛불집회
1	카오스 저자 정보 거의 모든
6	우리 제약 법인 증권 취득 목적 금액 편성
6	게시판 투자 증권 시대 아카데미
6	네트웍 영업 금액 수치 감소
2	프로농구 시즌 슬로건
6	유럽 증시 옐런 신중하다 금리 발언 상승 출발
